28,XWA,,,
0,280 Red Laser 17,1,,31
24,281 Red Turbo Laser 18,1,,31
48,282 Green Laser 19,1,,31
72,283 Green Turbo Laser 20,1,,31
96,284 Ion Laser 22,1,,31
120,285 Ion Turbo laser 23,1,,31
144,286 Torpedo 24,1,,31
168,287 Missile 25,1,,31
192,288 Red Super Laser 162,1,,31
216,289 Green Super Laser 165,1,,31
240,290 Ion Super Laser 168,1,,31
264,291 Adv. Torpedo 160,1,,31
288,292 Adv. Missile 159,1,,31
312,293 Space Bomb 26,1,,31
336,294 Heavy Rocket 27,1,,31
360,295 Mag Pulse 28,1,,31
384,296 Ion Pulse 161,1,,31
408,297 Reb Turbo Short 162,1,,31
432,298 Flare 29,1,,31
456,299 Unk 1 (Chaff?) 0,1,,31
480,300 Unk 2 (Cluster?) 0,1,,31
504,301 Reb Turbo Med 163,1,,31
528,302 Reb Turbo Long 164,1,,31
552,303 Imp Turbo Short 165,1,,31
576,304 Imp Turbo Med 166,1,,31
600,305 Imp Turbo Long 167,1,,31
624,306 Death Star Laser 21,1,,31
648,307 Open Weapon 169,1,,31
