28,XWA,,,
0,280 Red Laser 17,9,,26
2,281 Red Turbo Laser 18,9,,26
4,282 Green Laser 19,9,,26
6,283 Green Turbo Laser 20,9,,26
8,284 Ion Laser 22,9,,26
10,285 Ion Turbo laser 23,9,,26
12,286 Torpedo 24,9,,26
14,287 Missile 25,9,,26
16,288 Red Super Laser 162,9,,26
18,289 Green Super Laser 165,9,,26
20,290 Ion Super Laser 168,9,,26
22,291 Adv. Torpedo 160,9,,26
24,292 Adv. Missile 159,9,,26
26,293 Space Bomb 26,9,,26
28,294 Heavy Rocket 27,9,,26
30,295 Mag Pulse 28,9,,26
32,296 Ion Pulse 161,9,,26
34,297 Reb Turbo Short 162,9,,26
36,298 Flare 29,9,,26
38,299 Unk 1 (Chaff?) 0,9,,26
40,300 Unk 2 (Cluster?) 0,9,,26
42,301 Reb Turbo Med 163,9,,26
44,302 Reb Turbo Long 164,9,,26
46,303 Imp Turbo Short 165,9,,26
48,304 Imp Turbo Med 166,9,,26
50,305 Imp Turbo Long 167,9,,26
52,306 Death Star Laser 21,9,,26
54,307 Open Weapon 169,9,,26
